available_date,available_hour,parking_lot_id,available_cars
2023-01-01,0,500101022,59
2023-01-01,1,500101022,55
2023-01-01,2,500101022,55
2023-01-01,3,500101022,52
2023-01-01,4,500101022,60
2023-01-01,5,500101022,57
2023-01-01,6,500101022,52
2023-01-01,7,500101022,39
2023-01-01,8,500101022,36
2023-01-01,9,500101022,41
2023-01-01,10,500101022,49
2023-01-01,11,500101022,40
2023-01-01,12,500101022,42
2023-01-01,13,500101022,47
2023-01-01,14,500101022,45
2023-01-01,15,500101022,49
2023-01-01,16,500101022,48
2023-01-01,17,500101022,33
2023-01-01,18,500101022,33
2023-01-01,19,500101022,42
2023-01-01,20,500101022,38
2023-01-01,21,500101022,48
2023-01-01,22,500101022,51
2023-01-01,23,500101022,55
2023-01-08,0,500101022,53
2023-01-08,1,500101022,55
2023-01-08,2,500101022,53
2023-01-08,3,500101022,70
2023-01-08,4,500101022,51
2023-01-08,5,500101022,63
2023-01-08,6,500101022,54
2023-01-08,7,500101022,40
2023-01-08,8,500101022,32
2023-01-08,9,500101022,45
2023-01-08,10,500101022,42
2023-01-08,11,500101022,46
2023-01-08,12,500101022,29
2023-01-08,13,500101022,43
2023-01-08,14,500101022,30
2023-01-08,15,500101022,38
2023-01-08,16,500101022,44
2023-01-08,17,500101022,34
2023-01-08,18,500101022,32
2023-01-08,19,500101022,38
2023-01-08,20,500101022,44
2023-01-08,21,500101022,46
2023-01-08,22,500101022,51
2023-01-08,23,500101022,47
2023-01-15,0,500101022,58
2023-01-15,1,500101022,51
2023-01-15,2,500101022,62
2023-01-15,3,500101022,58
2023-01-15,4,500101022,52
2023-01-15,5,500101022,53
2023-01-15,6,500101022,53
2023-01-15,7,500101022,39
2023-01-15,8,500101022,32
2023-01-15,9,500101022,48
2023-01-15,10,500101022,55
2023-01-15,11,500101022,54
2023-01-15,12,500101022,40
2023-01-15,13,500101022,47
2023-01-15,14,500101022,45
2023-01-15,15,500101022,43
2023-01-15,16,500101022,56
2023-01-15,17,500101022,38
2023-01-15,18,500101022,28
2023-01-15,19,500101022,44
2023-01-15,20,500101022,48
2023-01-15,21,500101022,51
2023-01-15,22,500101022,49
2023-01-15,23,500101022,54
2023-01-22,0,500101022,55
2023-01-22,1,500101022,57
2023-01-22,2,500101022,62
2023-01-22,3,500101022,54
2023-01-22,4,500101022,52
2023-01-22,5,500101022,56
2023-01-22,6,500101022,53
2023-01-22,7,500101022,36
2023-01-22,8,500101022,30
2023-01-22,9,500101022,47
2023-01-22,10,500101022,46
2023-01-22,11,500101022,46
2023-01-22,12,500101022,46
2023-01-22,13,500101022,45
2023-01-22,14,500101022,46
2023-01-22,15,500101022,48
2023-01-22,16,500101022,48
2023-01-22,17,500101022,27
2023-01-22,18,500101022,31
2023-01-22,19,500101022,38
2023-01-22,20,500101022,45
2023-01-22,21,500101022,53
2023-01-22,22,500101022,50
2023-01-22,23,500101022,49
2023-01-29,0,500101022,60
2023-01-29,1,500101022,60
2023-01-29,2,500101022,69
2023-01-29,3,500101022,57
2023-01-29,4,500101022,64
2023-01-29,5,500101022,49
2023-01-29,6,500101022,60
2023-01-29,7,500101022,47
2023-01-29,8,500101022,27
2023-01-29,9,500101022,51
2023-01-29,10,500101022,43
2023-01-29,11,500101022,41
2023-01-29,12,500101022,41
2023-01-29,13,500101022,48
2023-01-29,14,500101022,47
2023-01-29,15,500101022,45
2023-01-29,16,500101022,40
2023-01-29,17,500101022,39
2023-01-29,18,500101022,34
2023-01-29,19,500101022,33
2023-01-29,20,500101022,41
2023-01-29,21,500101022,49
2023-01-29,22,500101022,54
2023-01-29,23,500101022,52
2023-02-05,0,500101022,52
2023-02-05,1,500101022,58
2023-02-05,2,500101022,57
2023-02-05,3,500101022,60
2023-02-05,4,500101022,57
2023-02-05,5,500101022,51
2023-02-05,6,500101022,54
2023-02-05,7,500101022,42
2023-02-05,8,500101022,29
2023-02-05,9,500101022,37
2023-02-05,10,500101022,49
2023-02-05,11,500101022,50
2023-02-05,12,500101022,42
2023-02-05,13,500101022,46
2023-02-05,14,500101022,47
2023-02-05,15,500101022,46
2023-02-05,16,500101022,50
2023-02-05,17,500101022,31
2023-02-05,18,500101022,25
2023-02-05,19,500101022,40
2023-02-05,20,500101022,44
2023-02-05,21,500101022,44
2023-02-05,22,500101022,53
2023-02-05,23,500101022,55
2023-02-12,0,500101022,56
