click_date,click_hour,parking_lot_id,num_click_times
2023-01-01,0,500101022,96
2023-01-01,1,500101022,42
2023-01-01,2,500101022,40
2023-01-01,3,500101022,21
2023-01-01,4,500101022,14
2023-01-01,5,500101022,43
2023-01-01,6,500101022,146
2023-01-01,7,500101022,346
2023-01-01,8,500101022,444
2023-01-01,9,500101022,456
2023-01-01,10,500101022,229
2023-01-01,11,500101022,253
2023-01-01,12,500101022,328
2023-01-01,13,500101022,235
2023-01-01,14,500101022,223
2023-01-01,15,500101022,292
2023-01-01,16,500101022,331
2023-01-01,17,500101022,800
2023-01-01,18,500101022,715
2023-01-01,19,500101022,419
2023-01-01,20,500101022,237
2023-01-01,21,500101022,243
2023-01-01,22,500101022,115
2023-01-01,23,500101022,95
2023-01-08,0,500101022,112
2023-01-08,1,500101022,67
2023-01-08,2,500101022,22
2023-01-08,3,500101022,25
2023-01-08,4,500101022,16
2023-01-08,5,500101022,57
2023-01-08,6,500101022,157
2023-01-08,7,500101022,548
2023-01-08,8,500101022,749
2023-01-08,9,500101022,358
2023-01-08,10,500101022,328
2023-01-08,11,500101022,223
2023-01-08,12,500101022,407
2023-01-08,13,500101022,384
2023-01-08,14,500101022,292
2023-01-08,15,500101022,250
2023-01-08,16,500101022,284
2023-01-08,17,500101022,682
2023-01-08,18,500101022,759
2023-01-08,19,500101022,561
2023-01-08,20,500101022,260
2023-01-08,21,500101022,171
2023-01-08,22,500101022,178
2023-01-08,23,500101022,148
2023-01-15,0,500101022,79
2023-01-15,1,500101022,34
2023-01-15,2,500101022,35
2023-01-15,3,500101022,13
2023-01-15,4,500101022,21
2023-01-15,5,500101022,53
2023-01-15,6,500101022,138
2023-01-15,7,500101022,334
2023-01-15,8,500101022,551
2023-01-15,9,500101022,332
2023-01-15,10,500101022,291
2023-01-15,11,500101022,235
2023-01-15,12,500101022,404
2023-01-15,13,500101022,393
2023-01-15,14,500101022,213
2023-01-15,15,500101022,329
2023-01-15,16,500101022,306
2023-01-15,17,500101022,670
2023-01-15,18,500101022,769
2023-01-15,19,500101022,575
2023-01-15,20,500101022,390
2023-01-15,21,500101022,233
2023-01-15,22,500101022,177
2023-01-15,23,500101022,107
2023-01-22,0,500101022,102
2023-01-22,1,500101022,50
2023-01-22,2,500101022,32
2023-01-22,3,500101022,22
2023-01-22,4,500101022,15
2023-01-22,5,500101022,52
2023-01-22,6,500101022,143
2023-01-22,7,500101022,525
2023-01-22,8,500101022,758
2023-01-22,9,500101022,416
2023-01-22,10,500101022,216
2023-01-22,11,500101022,282
2023-01-22,12,500101022,435
2023-01-22,13,500101022,317
2023-01-22,14,500101022,276
2023-01-22,15,500101022,356
2023-01-22,16,500101022,455
2023-01-22,17,500101022,814
2023-01-22,18,500101022,758
2023-01-22,19,500101022,458
2023-01-22,20,500101022,373
2023-01-22,21,500101022,231
2023-01-22,22,500101022,156
2023-01-22,23,500101022,129
2023-01-29,0,500101022,111
2023-01-29,1,500101022,62
2023-01-29,2,500101022,28
2023-01-29,3,500101022,12
2023-01-29,4,500101022,10
2023-01-29,5,500101022,48
2023-01-29,6,500101022,128
2023-01-29,7,500101022,544
2023-01-29,8,500101022,584
2023-01-29,9,500101022,460
2023-01-29,10,500101022,259
2023-01-29,11,500101022,332
2023-01-29,12,500101022,367
2023-01-29,13,500101022,290
2023-01-29,14,500101022,331
2023-01-29,15,500101022,262
2023-01-29,16,500101022,269
2023-01-29,17,500101022,847
2023-01-29,18,500101022,802
2023-01-29,19,500101022,359
2023-01-29,20,500101022,269
2023-01-29,21,500101022,162
2023-01-29,22,500101022,192
2023-01-29,23,500101022,102
2023-02-05,0,500101022,65
2023-02-05,1,500101022,47
2023-02-05,2,500101022,46
2023-02-05,3,500101022,10
2023-02-05,4,500101022,16
2023-02-05,5,500101022,55
2023-02-05,6,500101022,179
2023-02-05,7,500101022,429
2023-02-05,8,500101022,776
2023-02-05,9,500101022,319
2023-02-05,10,500101022,244
2023-02-05,11,500101022,260
2023-02-05,12,500101022,388
2023-02-05,13,500101022,396
2023-02-05,14,500101022,340
2023-02-05,15,500101022,183
2023-02-05,16,500101022,269
2023-02-05,17,500101022,552
2023-02-05,18,500101022,777
2023-02-05,19,500101022,421
2023-02-05,20,500101022,312
2023-02-05,21,500101022,184
2023-02-05,22,500101022,192
2023-02-05,23,500101022,107
2023-02-12,0,500101022,93
2023-02-12,1,500101022,45
2023-02-12,2,500101022,32
2023-02-12,3,500101022,22
2023-02-12,4,500101022,13
2023-02-12,5,500101022,58
2023-02-12,6,500101022,120
2023-02-12,7,500101022,508
2023-02-12,8,500101022,721
2023-02-12,9,500101022,420
2023-02-12,10,500101022,286
2023-02-12,11,500101022,310
2023-02-12,12,500101022,443
2023-02-12,13,500101022,328
2023-02-12,14,500101022,323
2023-02-12,15,500101022,340
2023-02-12,16,500101022,429
2023-02-12,17,500101022,566
2023-02-12,18,500101022,687
2023-02-12,19,500101022,471
2023-02-12,20,500101022,365
2023-02-12,21,500101022,172
2023-02-12,22,500101022,189
2023-02-12,23,500101022,103
2023-02-19,0,500101022,71
2023-02-19,1,500101022,51
2023-02-19,2,500101022,27
2023-02-19,3,500101022,9
2023-02-19,4,500101022,24
2023-02-19,5,500101022,65
2023-02-19,6,500101022,160
2023-02-19,7,500101022,533
2023-02-19,8,500101022,635
2023-02-19,9,500101022,423
2023-02-19,10,500101022,219
2023-02-19,11,500101022,258
2023-02-19,12,500101022,277
2023-02-19,13,500101022,299
2023-02-19,14,500101022,309
2023-02-19,15,500101022,332
2023-02-19,16,500101022,304
2023-02-19,17,500101022,670
2023-02-19,18,500101022,498
2023-02-19,19,500101022,419
2023-02-19,20,500101022,266
2023-02-19,21,500101022,228
2023-02-19,22,500101022,143
2023-02-19,23,500101022,141
2023-02-26,0,500101022,122
2023-02-26,1,500101022,60
2023-02-26,2,500101022,41
2023-02-26,3,500101022,16
2023-02-26,4,500101022,17
2023-02-26,5,500101022,65
2023-02-26,6,500101022,184
2023-02-26,7,500101022,447
2023-02-26,8,500101022,526
2023-02-26,9,500101022,307
2023-02-26,10,500101022,296
2023-02-26,11,500101022,389
2023-02-26,12,500101022,418
2023-02-26,13,500101022,224
2023-02-26,14,500101022,274
2023-02-26,15,500101022,232
2023-02-26,16,500101022,481
2023-02-26,17,500101022,832
2023-02-26,18,500101022,532
2023-02-26,19,500101022,540
2023-02-26,20,500101022,251
2023-02-26,21,500101022,246
2023-02-26,22,500101022,186
2023-02-26,23,500101022,106
2023-03-05,0,500101022,83
2023-03-05,1,500101022,71
2023-03-05,2,500101022,31
2023-03-05,3,500101022,16
2023-03-05,4,500101022,10
2023-03-05,5,500101022,40
2023-03-05,6,500101022,135
2023-03-05,7,500101022,397
2023-03-05,8,500101022,688
2023-03-05,9,500101022,293
2023-03-05,10,500101022,243
2023-03-05,11,500101022,355
2023-03-05,12,500101022,362
2023-03-05,13,500101022,276
2023-03-05,14,500101022,225
2023-03-05,15,500101022,313
2023-03-05,16,500101022,460
2023-03-05,17,500101022,617
2023-03-05,18,500101022,785
2023-03-05,19,500101022,548
2023-03-05,20,500101022,306
2023-03-05,21,500101022,204
2023-03-05,22,500101022,129
2023-03-05,23,500101022,129
2023-03-12,0,500101022,110
2023-03-12,1,500101022,56
2023-03-12,2,500101022,48
2023-03-12,3,500101022,21
2023-03-12,4,500101022,24
2023-03-12,5,500101022,70
2023-03-12,6,500101022,124
2023-03-12,7,500101022,456
2023-03-12,8,500101022,430
2023-03-12,9,500101022,261
2023-03-12,10,500101022,333
2023-03-12,11,500101022,346
2023-03-12,12,500101022,423
2023-03-12,13,500101022,248
2023-03-12,14,500101022,225
2023-03-12,15,500101022,208
2023-03-12,16,500101022,417
2023-03-12,17,500101022,648
2023-03-12,18,500101022,661
2023-03-12,19,500101022,556
2023-03-12,20,500101022,256
2023-03-12,21,500101022,234
2023-03-12,22,500101022,177
2023-03-12,23,500101022,87
2023-03-19,0,500101022,128
2023-03-19,1,500101022,56
2023-03-19,2,500101022,34
2023-03-19,3,500101022,18
2023-03-19,4,500101022,19
2023-03-19,5,500101022,33
2023-03-19,6,500101022,128
2023-03-19,7,500101022,356
2023-03-19,8,500101022,726
2023-03-19,9,500101022,407
2023-03-19,10,500101022,244
2023-03-19,11,500101022,330
2023-03-19,12,500101022,378
2023-03-19,13,500101022,402
2023-03-19,14,500101022,242
2023-03-19,15,500101022,384
2023-03-19,16,500101022,516
2023-03-19,17,500101022,628
2023-03-19,18,500101022,648
2023-03-19,19,500101022,404
2023-03-19,20,500101022,364
2023-03-19,21,500101022,174
2023-03-19,22,500101022,205
2023-03-19,23,500101022,129
2023-03-26,0,500101022,79
2023-03-26,1,500101022,49
2023-03-26,2,500101022,32
2023-03-26,3,500101022,23
2023-03-26,4,500101022,16
2023-03-26,5,500101022,68
2023-03-26,6,500101022,142
2023-03-26,7,500101022,509
2023-03-26,8,500101022,567
2023-03-26,9,500101022,370
2023-03-26,10,500101022,303
2023-03-26,11,500101022,268
2023-03-26,12,500101022,328
2023-03-26,13,500101022,351
2023-03-26,14,500101022,203
2023-03-26,15,500101022,318
2023-03-26,16,500101022,298
2023-03-26,17,500101022,720
2023-03-26,18,500101022,575
2023-03-26,19,500101022,488
2023-03-26,20,500101022,314
2023-03-26,21,500101022,186
2023-03-26,22,500101022,124
2023-03-26,23,500101022,94
2023-04-02,0,500101022,77
2023-04-02,1,500101022,52
2023-04-02,2,500101022,37
2023-04-02,3,500101022,14
2023-04-02,4,500101022,16
2023-04-02,5,500101022,65
2023-04-02,6,500101022,160
2023-04-02,7,500101022,502
2023-04-02,8,500101022,490
2023-04-02,9,500101022,415
2023-04-02,10,500101022,266
2023-04-02,11,500101022,342
2023-04-02,12,500101022,398
2023-04-02,13,500101022,279
2023-04-02,14,500101022,238
2023-04-02,15,500101022,299
2023-04-02,16,500101022,484
2023-04-02,17,500101022,771
2023-04-02,18,500101022,668
2023-04-02,19,500101022,457
2023-04-02,20,500101022,365
2023-04-02,21,500101022,164
2023-04-02,22,500101022,161
2023-04-02,23,500101022,132
2023-04-09,0,500101022,88
2023-04-09,1,500101022,62
2023-04-09,2,500101022,30
2023-04-09,3,500101022,26
2023-04-09,4,500101022,21
2023-04-09,5,500101022,62
2023-04-09,6,500101022,113
2023-04-09,7,500101022,550
2023-04-09,8,500101022,500
2023-04-09,9,500101022,244
2023-04-09,10,500101022,285
2023-04-09,11,500101022,375
2023-04-09,12,500101022,421
2023-04-09,13,500101022,293
2023-04-09,14,500101022,321
2023-04-09,15,500101022,297
2023-04-09,16,500101022,291
